Object,Filter,MJD,Flux,Error,Tel,Obs
MR_2251-178,u,59107.707520, 0.992, 0.003,1m003,coj
MR_2251-178,u,59107.707520, 0.985, 0.002,1m003,coj
MR_2251-178,u,59114.795238, 1.022, 0.003,1m013,cpt
MR_2251-178,u,59114.795238, 1.006, 0.003,1m013,cpt
MR_2251-178,u,59114.802483, 1.010, 0.003,1m013,cpt
MR_2251-178,u,59114.802483, 1.010, 0.003,1m013,cpt
MR_2251-178,u,59119.663200, 1.132, 0.006,1m011,coj
MR_2251-178,u,59119.663200, 1.129, 0.006,1m011,coj
MR_2251-178,u,59119.670456, 1.099, 0.005,1m011,coj
MR_2251-178,u,59119.670456, 1.098, 0.005,1m011,coj
MR_2251-178,u,59124.455513, 1.093, 0.004,1m003,coj
MR_2251-178,u,59124.455513, 1.091, 0.004,1m003,coj
MR_2251-178,u,59124.462761, 1.105, 0.004,1m003,coj
MR_2251-178,u,59124.462761, 1.097, 0.004,1m003,coj
MR_2251-178,u,59131.200101, 1.067, 0.003,1m006,elp
MR_2251-178,u,59131.200101, 1.077, 0.003,1m006,elp
MR_2251-178,u,59131.207349, 1.057, 0.002,1m006,elp
MR_2251-178,u,59131.207349, 1.070, 0.003,1m006,elp
MR_2251-178,u,59136.972651, 1.058, 0.003,1m012,cpt
MR_2251-178,u,59136.972651, 1.057, 0.003,1m012,cpt
MR_2251-178,u,59136.979903, 1.059, 0.003,1m012,cpt
MR_2251-178,u,59136.979903, 1.062, 0.003,1m012,cpt
MR_2251-178,u,59141.572040, 1.031, 0.004,1m003,coj
MR_2251-178,u,59141.572040, 1.022, 0.004,1m003,coj
MR_2251-178,u,59141.579292, 1.076, 0.007,1m003,coj
MR_2251-178,u,59141.579292, 1.079, 0.007,1m003,coj
MR_2251-178,u,59143.779268, 1.034, 0.002,1m013,cpt
MR_2251-178,u,59143.779268, 1.032, 0.002,1m013,cpt
MR_2251-178,u,59143.786524, 1.028, 0.002,1m013,cpt
MR_2251-178,u,59143.786524, 1.021, 0.002,1m013,cpt
MR_2251-178,u,59151.424212, 1.001, 0.003,1m003,coj
MR_2251-178,u,59151.424212, 1.001, 0.003,1m003,coj
MR_2251-178,u,59151.431465, 1.001, 0.003,1m003,coj
MR_2251-178,u,59151.431465, 1.001, 0.003,1m003,coj
MR_2251-178,u,59156.146425, 0.999, 0.002,1m005,lsc
MR_2251-178,u,59156.146425, 1.004, 0.002,1m005,lsc
MR_2251-178,u,59156.153677, 0.986, 0.002,1m005,lsc
MR_2251-178,u,59156.153677, 0.991, 0.002,1m005,lsc
MR_2251-178,u,59162.818672, 0.992, 0.002,1m010,cpt
MR_2251-178,u,59162.818672, 0.991, 0.002,1m010,cpt
MR_2251-178,u,59162.825930, 1.000, 0.002,1m010,cpt
MR_2251-178,u,59162.825930, 0.992, 0.002,1m010,cpt
MR_2251-178,u,59167.479595, 0.971, 0.002,1m011,coj
MR_2251-178,u,59167.479595, 0.976, 0.002,1m011,coj
MR_2251-178,u,59167.486855, 0.965, 0.002,1m011,coj
MR_2251-178,u,59167.486855, 0.972, 0.002,1m011,coj
MR_2251-178,u,59172.028376, 1.070, 0.003,1m004,lsc
MR_2251-178,u,59172.028376, 1.065, 0.003,1m004,lsc
MR_2251-178,u,59172.035623, 1.036, 0.003,1m004,lsc
MR_2251-178,u,59172.035623, 1.037, 0.003,1m004,lsc
MR_2251-178,u,59177.501254, 1.149, 0.016,1m003,coj
MR_2251-178,u,59177.501254, 1.163, 0.016,1m003,coj
MR_2251-178,u,59177.508513, 1.075, 0.037,1m003,coj
MR_2251-178,u,59177.508513, 1.096, 0.037,1m003,coj
MR_2251-178,u,59182.120738, 1.084, 0.005,1m006,elp
MR_2251-178,u,59182.120738, 1.078, 0.005,1m006,elp
MR_2251-178,u,59182.128019, 1.070, 0.005,1m006,elp
MR_2251-178,u,59182.128019, 1.073, 0.005,1m006,elp
MR_2251-178,u,59186.825386, 0.962, 0.002,1m010,cpt
MR_2251-178,u,59186.825386, 0.956, 0.002,1m010,cpt
MR_2251-178,u,59186.832625, 0.962, 0.002,1m010,cpt
MR_2251-178,u,59186.832625, 0.965, 0.002,1m010,cpt
MR_2251-178,u,59192.462381, 0.918, 0.002,1m003,coj
MR_2251-178,u,59192.462381, 0.913, 0.002,1m003,coj
MR_2251-178,u,59192.469627, 0.903, 0.002,1m003,coj
MR_2251-178,u,59192.469627, 0.907, 0.002,1m003,coj
MR_2251-178,u,59196.790094, 0.896, 0.002,1m012,cpt
MR_2251-178,u,59196.790094, 0.902, 0.002,1m012,cpt
MR_2251-178,u,59196.797343, 0.910, 0.002,1m012,cpt
MR_2251-178,u,59196.797343, 0.899, 0.002,1m012,cpt
MR_2251-178,u,59197.039168, 0.898, 0.003,1m004,lsc
MR_2251-178,u,59197.039168, 0.895, 0.003,1m004,lsc
MR_2251-178,u,59197.046418, 0.892, 0.003,1m004,lsc
MR_2251-178,u,59197.046418, 0.892, 0.003,1m004,lsc
MR_2251-178,u,59205.042577, 0.945, 0.004,1m004,lsc
MR_2251-178,u,59205.042577, 0.940, 0.004,1m004,lsc
MR_2251-178,u,59205.049829, 0.946, 0.004,1m004,lsc
MR_2251-178,u,59205.049829, 0.943, 0.004,1m004,lsc
MR_2251-178,u,59336.142850, 1.150, 0.003,1m010,cpt
MR_2251-178,u,59336.142850, 1.147, 0.003,1m010,cpt
MR_2251-178,u,59336.150113, 1.139, 0.003,1m010,cpt
MR_2251-178,u,59336.150113, 1.148, 0.003,1m010,cpt
MR_2251-178,u,59343.113185, 1.191, 0.003,1m012,cpt
MR_2251-178,u,59343.113185, 1.193, 0.003,1m012,cpt
MR_2251-178,u,59343.120437, 1.182, 0.003,1m012,cpt
MR_2251-178,u,59343.120437, 1.197, 0.003,1m012,cpt
MR_2251-178,u,59348.149836, 1.234, 0.003,1m012,cpt
MR_2251-178,u,59348.149836, 1.237, 0.003,1m012,cpt
MR_2251-178,u,59348.157116, 1.234, 0.003,1m012,cpt
MR_2251-178,u,59348.157116, 1.247, 0.003,1m012,cpt
MR_2251-178,u,59352.792865, 1.191, 0.002,1m011,coj
MR_2251-178,u,59352.792865, 1.180, 0.002,1m011,coj
MR_2251-178,u,59352.800129, 1.180, 0.002,1m011,coj
MR_2251-178,u,59352.800129, 1.169, 0.002,1m011,coj
MR_2251-178,u,59356.798205, 1.212, 0.004,1m011,coj
MR_2251-178,u,59356.798205, 1.190, 0.004,1m011,coj
MR_2251-178,u,59356.801992, 1.190, 0.004,1m011,coj
MR_2251-178,u,59356.801992, 1.208, 0.004,1m011,coj
MR_2251-178,u,59357.355269, 1.221, 0.003,1m009,lsc
MR_2251-178,u,59357.355269, 1.236, 0.003,1m009,lsc
MR_2251-178,u,59357.359050, 1.204, 0.003,1m009,lsc
MR_2251-178,u,59357.359050, 1.227, 0.003,1m009,lsc
MR_2251-178,u,59358.419666, 1.229, 0.006,1m004,lsc
MR_2251-178,u,59358.419666, 1.239, 0.006,1m004,lsc
MR_2251-178,u,59358.423448, 1.274, 0.006,1m004,lsc
MR_2251-178,u,59358.423448, 1.294, 0.006,1m004,lsc
MR_2251-178,u,59362.072563, 1.392, 0.009,1m013,cpt
MR_2251-178,u,59362.072563, 1.401, 0.009,1m013,cpt
MR_2251-178,u,59362.076348, 1.401, 0.009,1m013,cpt
MR_2251-178,u,59362.076348, 1.400, 0.009,1m013,cpt
MR_2251-178,u,59365.367385, 1.221, 0.003,1m005,lsc
MR_2251-178,u,59365.367385, 1.231, 0.003,1m005,lsc
MR_2251-178,u,59365.371171, 1.224, 0.003,1m005,lsc
MR_2251-178,u,59365.371171, 1.254, 0.003,1m005,lsc
MR_2251-178,u,59369.351821, 1.192, 0.003,1m005,lsc
MR_2251-178,u,59369.351821, 1.190, 0.003,1m005,lsc
MR_2251-178,u,59369.355603, 1.211, 0.003,1m005,lsc
MR_2251-178,u,59369.355603, 1.201, 0.003,1m005,lsc
MR_2251-178,u,59370.405559, 1.202, 0.003,1m009,lsc
MR_2251-178,u,59370.405559, 1.217, 0.003,1m009,lsc
MR_2251-178,u,59370.409329, 1.209, 0.003,1m009,lsc
MR_2251-178,u,59370.409329, 1.196, 0.003,1m009,lsc
MR_2251-178,u,59371.419389, 1.190, 0.005,1m004,lsc
MR_2251-178,u,59371.419389, 1.176, 0.005,1m004,lsc
MR_2251-178,u,59371.423179, 1.183, 0.005,1m004,lsc
MR_2251-178,u,59371.423179, 1.186, 0.005,1m004,lsc
MR_2251-178,u,59372.298222, 1.179, 0.003,1m009,lsc
MR_2251-178,u,59372.298222, 1.170, 0.003,1m009,lsc
MR_2251-178,u,59372.302001, 1.176, 0.003,1m009,lsc
MR_2251-178,u,59372.302001, 1.172, 0.003,1m009,lsc
MR_2251-178,u,59373.433669, 1.202, 0.007,1m008,elp
MR_2251-178,u,59373.433669, 1.207, 0.007,1m008,elp
MR_2251-178,u,59373.437448, 1.291, 0.011,1m008,elp
MR_2251-178,u,59373.437448, 1.284, 0.011,1m008,elp
MR_2251-178,u,59374.294666, 1.159, 0.003,1m005,lsc
MR_2251-178,u,59374.294666, 1.178, 0.003,1m005,lsc
MR_2251-178,u,59374.298457, 1.157, 0.003,1m005,lsc
MR_2251-178,u,59374.298457, 1.171, 0.003,1m005,lsc
MR_2251-178,u,59375.426564, 1.161, 0.003,1m009,lsc
MR_2251-178,u,59375.426564, 1.173, 0.003,1m009,lsc
MR_2251-178,u,59375.430343, 1.184, 0.003,1m009,lsc
MR_2251-178,u,59375.430343, 1.166, 0.003,1m009,lsc
MR_2251-178,u,59379.088921, 1.184, 0.004,1m010,cpt
MR_2251-178,u,59379.088921, 1.196, 0.004,1m010,cpt
MR_2251-178,u,59379.092701, 1.198, 0.004,1m010,cpt
MR_2251-178,u,59379.092701, 1.211, 0.004,1m010,cpt
MR_2251-178,u,59380.301511, 1.215, 0.004,1m009,lsc
MR_2251-178,u,59380.301511, 1.219, 0.004,1m009,lsc
MR_2251-178,u,59380.305301, 1.215, 0.004,1m009,lsc
MR_2251-178,u,59380.305301, 1.203, 0.004,1m009,lsc
MR_2251-178,u,59384.263237, 1.233, 0.003,1m005,lsc
MR_2251-178,u,59384.263237, 1.198, 0.003,1m005,lsc
MR_2251-178,u,59384.267026, 1.228, 0.003,1m005,lsc
MR_2251-178,u,59384.267026, 1.213, 0.003,1m005,lsc
MR_2251-178,u,59404.440646, 1.157, 0.005,1m008,elp
MR_2251-178,u,59404.440646, 1.149, 0.005,1m008,elp
MR_2251-178,u,59404.444421, 1.171, 0.005,1m008,elp
MR_2251-178,u,59404.444421, 1.162, 0.005,1m008,elp
MR_2251-178,u,59405.357079, 1.205, 0.005,1m004,lsc
MR_2251-178,u,59405.357079, 1.210, 0.005,1m004,lsc
MR_2251-178,u,59405.360858, 1.209, 0.005,1m004,lsc
MR_2251-178,u,59405.360858, 1.211, 0.005,1m004,lsc
MR_2251-178,u,59406.398724, 1.191, 0.003,1m009,lsc
MR_2251-178,u,59406.398724, 1.184, 0.003,1m009,lsc
MR_2251-178,u,59406.402502, 1.188, 0.004,1m009,lsc
MR_2251-178,u,59406.402502, 1.194, 0.004,1m009,lsc
MR_2251-178,u,59408.426556, 1.198, 0.003,1m009,lsc
MR_2251-178,u,59408.426556, 1.181, 0.003,1m009,lsc
MR_2251-178,u,59408.430335, 1.182, 0.003,1m009,lsc
MR_2251-178,u,59408.430335, 1.195, 0.003,1m009,lsc
MR_2251-178,u,59409.409596, 1.188, 0.003,1m009,lsc
MR_2251-178,u,59409.409596, 1.188, 0.003,1m009,lsc
MR_2251-178,u,59409.413372, 1.177, 0.003,1m009,lsc
MR_2251-178,u,59409.413372, 1.191, 0.003,1m009,lsc
MR_2251-178,u,59410.164363, 1.176, 0.003,1m005,lsc
MR_2251-178,u,59410.164363, 1.190, 0.003,1m005,lsc
MR_2251-178,u,59410.168136, 1.181, 0.003,1m005,lsc
MR_2251-178,u,59410.168136, 1.184, 0.003,1m005,lsc
MR_2251-178,u,59411.421525, 1.201, 0.003,1m009,lsc
MR_2251-178,u,59411.421525, 1.213, 0.003,1m009,lsc
MR_2251-178,u,59411.425305, 1.195, 0.003,1m009,lsc
MR_2251-178,u,59411.425305, 1.210, 0.003,1m009,lsc
MR_2251-178,u,59412.177314, 1.192, 0.003,1m009,lsc
MR_2251-178,u,59412.177314, 1.203, 0.003,1m009,lsc
MR_2251-178,u,59412.181089, 1.214, 0.003,1m009,lsc
MR_2251-178,u,59412.181089, 1.199, 0.003,1m009,lsc
MR_2251-178,u,59413.267735, 1.315, 0.024,1m004,lsc
MR_2251-178,u,59413.267735, 1.301, 0.024,1m004,lsc
MR_2251-178,u,59413.271506, 1.340, 0.016,1m004,lsc
MR_2251-178,u,59413.271506, 1.346, 0.017,1m004,lsc
MR_2251-178,u,59413.962702, 1.313, 0.005,1m012,cpt
MR_2251-178,u,59413.962702, 1.333, 0.005,1m012,cpt
MR_2251-178,u,59413.966489, 1.289, 0.005,1m012,cpt
MR_2251-178,u,59413.966489, 1.296, 0.005,1m012,cpt
MR_2251-178,u,59418.140261, 1.307, 0.013,1m005,lsc
MR_2251-178,u,59418.140261, 1.264, 0.013,1m005,lsc
MR_2251-178,u,59418.141963, 1.361, 0.021,1m005,lsc
MR_2251-178,u,59418.141963, 1.332, 0.020,1m005,lsc
MR_2251-178,u,59419.137715, 1.371, 0.016,1m005,lsc
MR_2251-178,u,59419.137715, 1.394, 0.017,1m005,lsc
MR_2251-178,u,59419.139411, 1.366, 0.016,1m005,lsc
MR_2251-178,u,59419.139411, 1.364, 0.016,1m005,lsc
MR_2251-178,u,59423.210011, 1.274, 0.007,1m009,lsc
MR_2251-178,u,59423.210011, 1.286, 0.007,1m009,lsc
MR_2251-178,u,59423.211709, 1.294, 0.007,1m009,lsc
MR_2251-178,u,59423.211709, 1.284, 0.007,1m009,lsc
MR_2251-178,u,59423.304572, 1.401, 0.013,1m004,lsc
MR_2251-178,u,59423.304572, 1.403, 0.013,1m004,lsc
MR_2251-178,u,59424.341210, 1.265, 0.005,1m005,lsc
MR_2251-178,u,59424.341210, 1.263, 0.005,1m005,lsc
MR_2251-178,u,59424.342900, 1.299, 0.005,1m005,lsc
MR_2251-178,u,59424.342900, 1.300, 0.005,1m005,lsc
MR_2251-178,u,59425.382664, 1.284, 0.005,1m005,lsc
MR_2251-178,u,59425.382664, 1.296, 0.005,1m005,lsc
MR_2251-178,u,59425.384356, 1.271, 0.005,1m005,lsc
MR_2251-178,u,59425.384356, 1.276, 0.005,1m005,lsc
MR_2251-178,u,59427.107191, 1.448, 0.027,1m013,cpt
MR_2251-178,u,59427.107191, 1.452, 0.027,1m013,cpt
MR_2251-178,u,59427.109103, 1.366, 0.033,1m013,cpt
MR_2251-178,u,59427.109103, 1.334, 0.032,1m013,cpt
MR_2251-178,u,59428.106175, 1.006, 0.009,1m012,cpt
MR_2251-178,u,59428.106175, 1.010, 0.009,1m012,cpt
MR_2251-178,u,59428.107869, 1.722, 0.009,1m012,cpt
MR_2251-178,u,59428.107869, 1.685, 0.009,1m012,cpt
MR_2251-178,u,59430.084147, 1.382, 0.006,1m001,tfn
MR_2251-178,u,59430.084147, 1.374, 0.006,1m001,tfn
MR_2251-178,u,59430.085839, 1.381, 0.006,1m001,tfn
MR_2251-178,u,59430.085839, 1.383, 0.006,1m001,tfn
MR_2251-178,u,59431.122562, 1.281, 0.006,1m010,cpt
MR_2251-178,u,59431.122562, 1.302, 0.006,1m010,cpt
MR_2251-178,u,59431.124254, 1.375, 0.006,1m010,cpt
MR_2251-178,u,59431.124254, 1.366, 0.006,1m010,cpt
MR_2251-178,u,59432.102121, 1.352, 0.008,1m013,cpt
MR_2251-178,u,59432.102121, 1.366, 0.008,1m013,cpt
MR_2251-178,u,59432.103825, 1.306, 0.008,1m013,cpt
MR_2251-178,u,59432.103825, 1.320, 0.008,1m013,cpt
MR_2251-178,u,59433.064329, 1.294, 0.006,1m010,cpt
MR_2251-178,u,59433.064329, 1.281, 0.005,1m010,cpt
MR_2251-178,u,59433.066017, 1.316, 0.006,1m010,cpt
MR_2251-178,u,59433.066017, 1.319, 0.006,1m010,cpt
MR_2251-178,u,59433.349980, 1.289, 0.005,1m009,lsc
MR_2251-178,u,59433.349980, 1.282, 0.005,1m009,lsc
MR_2251-178,u,59433.351676, 1.263, 0.005,1m009,lsc
MR_2251-178,u,59433.351676, 1.264, 0.005,1m009,lsc
MR_2251-178,u,59435.280665, 1.307, 0.005,1m009,lsc
MR_2251-178,u,59435.280665, 1.288, 0.005,1m009,lsc
MR_2251-178,u,59435.282425, 1.283, 0.005,1m009,lsc
MR_2251-178,u,59435.282425, 1.308, 0.005,1m009,lsc
MR_2251-178,u,59435.314557, 1.430, 0.011,1m004,lsc
MR_2251-178,u,59435.314557, 1.430, 0.011,1m004,lsc
MR_2251-178,u,59435.316246, 1.472, 0.011,1m004,lsc
MR_2251-178,u,59435.316246, 1.464, 0.011,1m004,lsc
MR_2251-178,u,59436.279766, 1.262, 0.004,1m005,lsc
MR_2251-178,u,59436.279766, 1.263, 0.004,1m005,lsc
MR_2251-178,u,59436.281468, 1.266, 0.004,1m005,lsc
MR_2251-178,u,59436.281468, 1.249, 0.004,1m005,lsc
MR_2251-178,u,59437.358023, 1.303, 0.004,1m005,lsc
MR_2251-178,u,59437.358023, 1.313, 0.004,1m005,lsc
MR_2251-178,u,59437.359730, 1.291, 0.004,1m005,lsc
MR_2251-178,u,59437.359730, 1.293, 0.004,1m005,lsc
MR_2251-178,u,59440.151585, 1.286, 0.005,1m009,lsc
MR_2251-178,u,59440.151585, 1.288, 0.005,1m009,lsc
MR_2251-178,u,59440.153288, 1.288, 0.005,1m009,lsc
MR_2251-178,u,59440.153288, 1.291, 0.005,1m009,lsc
MR_2251-178,u,59442.462716, 1.412, 0.013,1m011,coj
MR_2251-178,u,59442.462716, 1.404, 0.013,1m011,coj
MR_2251-178,u,59442.464421, 1.374, 0.013,1m011,coj
MR_2251-178,u,59442.464421, 1.379, 0.013,1m011,coj
MR_2251-178,u,59442.817646, 1.376, 0.016,1m010,cpt
MR_2251-178,u,59442.817646, 1.382, 0.016,1m010,cpt
MR_2251-178,u,59442.819338, 1.447, 0.021,1m010,cpt
MR_2251-178,u,59442.819338, 1.472, 0.021,1m010,cpt
MR_2251-178,u,59444.074544, 1.460, 0.018,1m004,lsc
MR_2251-178,u,59444.074544, 1.476, 0.019,1m004,lsc
MR_2251-178,u,59444.076237, 1.381, 0.018,1m004,lsc
MR_2251-178,u,59444.076237, 1.374, 0.018,1m004,lsc
MR_2251-178,u,59445.454551, 1.379, 0.018,1m011,coj
MR_2251-178,u,59445.454551, 1.369, 0.018,1m011,coj
MR_2251-178,u,59445.456246, 1.378, 0.018,1m011,coj
MR_2251-178,u,59445.456246, 1.378, 0.018,1m011,coj
MR_2251-178,u,59447.178478, 1.502, 0.029,1m009,lsc
MR_2251-178,u,59447.178478, 1.496, 0.029,1m009,lsc
MR_2251-178,u,59447.180170, 1.422, 0.018,1m009,lsc
MR_2251-178,u,59447.180170, 1.441, 0.018,1m009,lsc
MR_2251-178,u,59451.607777, 1.381, 0.011,1m011,coj
MR_2251-178,u,59451.607777, 1.376, 0.011,1m011,coj
MR_2251-178,u,59452.229498, 1.354, 0.006,1m005,lsc
MR_2251-178,u,59452.229498, 1.357, 0.006,1m005,lsc
MR_2251-178,u,59452.231192, 1.347, 0.006,1m005,lsc
MR_2251-178,u,59452.231192, 1.348, 0.006,1m005,lsc
MR_2251-178,u,59453.355401, 1.347, 0.006,1m005,lsc
MR_2251-178,u,59453.355401, 1.343, 0.006,1m005,lsc
MR_2251-178,u,59453.357105, 1.277, 0.006,1m005,lsc
MR_2251-178,u,59453.357105, 1.301, 0.006,1m005,lsc
MR_2251-178,u,59454.352778, 1.300, 0.007,1m009,lsc
MR_2251-178,u,59454.352778, 1.309, 0.007,1m009,lsc
MR_2251-178,u,59454.354482, 1.276, 0.006,1m009,lsc
MR_2251-178,u,59454.354482, 1.255, 0.006,1m009,lsc
MR_2251-178,u,59455.377177, 1.297, 0.006,1m005,lsc
MR_2251-178,u,59455.377177, 1.284, 0.006,1m005,lsc
MR_2251-178,u,59455.378884, 1.326, 0.006,1m005,lsc
MR_2251-178,u,59455.378884, 1.319, 0.006,1m005,lsc
MR_2251-178,u,59456.278650, 1.249, 0.005,1m009,lsc
MR_2251-178,u,59456.278650, 1.249, 0.005,1m009,lsc
MR_2251-178,u,59456.280366, 1.241, 0.005,1m009,lsc
MR_2251-178,u,59456.280366, 1.251, 0.005,1m009,lsc
MR_2251-178,u,59457.758723, 1.283, 0.011,1m003,coj
MR_2251-178,u,59457.758723, 1.271, 0.011,1m003,coj
MR_2251-178,u,59457.760429, 1.290, 0.011,1m003,coj
MR_2251-178,u,59457.760429, 1.288, 0.011,1m003,coj
MR_2251-178,u,59458.643411, 1.302, 0.008,1m003,coj
MR_2251-178,u,59458.643411, 1.306, 0.008,1m003,coj
MR_2251-178,u,59458.645115, 1.300, 0.007,1m003,coj
MR_2251-178,u,59458.645115, 1.302, 0.007,1m003,coj
MR_2251-178,u,59459.756418, 1.355, 0.011,1m011,coj
MR_2251-178,u,59459.756418, 1.347, 0.011,1m011,coj
MR_2251-178,u,59459.758123, 1.359, 0.011,1m011,coj
MR_2251-178,u,59459.758123, 1.370, 0.011,1m011,coj
MR_2251-178,u,59459.978240, 1.323, 0.008,1m013,cpt
MR_2251-178,u,59459.978240, 1.321, 0.008,1m013,cpt
MR_2251-178,u,59459.979933, 1.349, 0.008,1m013,cpt
MR_2251-178,u,59459.979933, 1.343, 0.008,1m013,cpt
MR_2251-178,u,59461.023076, 1.312, 0.007,1m009,lsc
MR_2251-178,u,59461.023076, 1.319, 0.007,1m009,lsc
MR_2251-178,u,59461.024768, 1.297, 0.007,1m009,lsc
MR_2251-178,u,59461.024768, 1.293, 0.007,1m009,lsc
MR_2251-178,u,59462.022167, 1.295, 0.008,1m013,cpt
MR_2251-178,u,59462.022167, 1.313, 0.008,1m013,cpt
MR_2251-178,u,59462.023860, 1.332, 0.008,1m013,cpt
MR_2251-178,u,59462.023860, 1.331, 0.008,1m013,cpt
MR_2251-178,u,59462.693189, 1.366, 0.014,1m011,coj
MR_2251-178,u,59462.693189, 1.347, 0.014,1m011,coj
MR_2251-178,u,59462.694894, 1.330, 0.018,1m011,coj
MR_2251-178,u,59462.694894, 1.338, 0.018,1m011,coj
MR_2251-178,u,59463.104311, 1.248, 0.005,1m009,lsc
MR_2251-178,u,59463.104311, 1.243, 0.005,1m009,lsc
MR_2251-178,u,59463.106003, 1.258, 0.005,1m009,lsc
MR_2251-178,u,59463.106003, 1.251, 0.005,1m009,lsc
MR_2251-178,u,59464.130530, 1.321, 0.008,1m001,tfn
MR_2251-178,u,59464.130530, 1.329, 0.008,1m001,tfn
MR_2251-178,u,59464.132235, 1.293, 0.008,1m001,tfn
